NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
451	532.453	11.867	77.585	11.889	0.016	0.979	110000.0
452	565.244	12.3	80.933	12.418	0.016	0.977	160000.0
453	553.982	11.83	79.939	11.797	0.016	0.979	100000.0
454	549.069	11.985	79.428	12.053	0.016	0.978	190000.0
455	547.214	11.685	78.204	11.651	0.015	0.98	100000.0
456	518.762	11.322	75.339	11.611	0.015	0.979	250000.0
457	522.649	11.839	74.234	11.717	0.016	0.979	110000.0
458	532.911	11.587	76.609	11.656	0.015	0.98	150000.0
459	533.197	11.864	77.121	11.936	0.016	0.979	120000.0
460	553.565	11.994	81.141	12.035	0.015	0.978	100000.0
461	537.65	11.475	77.04	11.419	0.016	0.981	90000.0
462	557.824	12.287	80.219	12.278	0.017	0.978	90000.0
463	520.475	11.758	74.027	11.913	0.016	0.978	150000.0
464	540.284	11.793	76.036	11.681	0.016	0.979	60000.0
465	535.127	11.774	75.913	11.695	0.016	0.979	120000.0
466	526.536	11.699	75.453	11.742	0.016	0.979	140000.0
