NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
234	1168.456	23.59	184.818	25.734	0.053	0.903	40000.0
235	1198.491	24.24	191.343	26.698	0.055	0.895	20000.0
236	1188.355	24.311	188.565	26.578	0.056	0.895	30000.0
237	1177.771	23.864	188.901	26.438	0.054	0.897	20000.0
238	1171.987	23.762	190.199	26.412	0.055	0.897	20000.0
239	1142.407	23.601	182.662	25.971	0.054	0.901	30000.0
240	1165.462	24.09	187.504	26.311	0.055	0.899	20000.0
241	1168.129	23.506	185.64	25.846	0.053	0.9	20000.0
242	1169.916	23.636	188.937	26.187	0.053	0.899	20000.0
243	1162.297	23.532	187.81	26.11	0.053	0.899	20000.0
244	1176.415	24.268	190.242	26.957	0.057	0.892	20000.0
245	1181.84	23.865	190.059	26.32	0.055	0.899	40000.0
246	1162.17	23.718	183.158	26.048	0.054	0.896	20000.0
247	1177.92	24.331	193.345	27.096	0.057	0.892	20000.0
248	1160.201	23.595	184.071	25.866	0.054	0.902	20000.0
249	1186.649	24.141	190.48	26.793	0.056	0.896	30000.0
250	1164.555	23.721	189.901	26.57	0.054	0.898	20000.0
251	1168.914	23.508	186.16	25.88	0.053	0.901	20000.0
252	1170.77	23.61	188.103	26.231	0.053	0.898	20000.0
253	1197.855	24.302	189.221	26.649	0.056	0.896	20000.0
254	1177.065	24.051	191.961	26.811	0.055	0.896	20000.0
255	1190.225	24.016	190.208	26.24	0.055	0.9	20000.0
256	1175.258	23.879	189.044	26.426	0.055	0.899	20000.0
257	1151.839	23.47	187.795	26.501	0.054	0.897	20000.0
258	1175.031	23.902	186.556	26.259	0.055	0.897	30000.0
259	1181.743	23.965	190.46	26.241	0.055	0.901	30000.0
260	1156.338	23.586	186.604	26.105	0.055	0.899	30000.0
261	1176.649	24.118	187.914	26.393	0.055	0.899	20000.0
262	1154.534	23.731	182.764	26.073	0.055	0.897	20000.0
263	1179.127	23.721	187.208	25.994	0.054	0.9	30000.0
264	1154.354	23.528	185.274	26.08	0.054	0.9	20000.0
265	1180.358	23.956	190.276	26.42	0.055	0.899	20000.0
266	1153.941	23.368	185.602	25.821	0.053	0.903	30000.0
267	1187.582	24.312	188.914	26.638	0.056	0.896	50000.0
268	1156.111	23.583	183.491	25.827	0.053	0.902	50000.0
269	1190.287	23.93	189.45	26.314	0.054	0.898	20000.0
270	1157.634	23.539	188.703	26.362	0.054	0.898	20000.0
271	1177.339	24.015	186.601	26.154	0.054	0.898	20000.0
272	1175.199	23.74	190.017	26.415	0.054	0.898	40000.0
273	1155.363	23.665	186.925	26.104	0.055	0.899	20000.0
274	1186.578	23.918	189.953	26.328	0.053	0.898	20000.0
275	1172.775	23.964	186.556	26.351	0.056	0.898	20000.0
276	1179.341	23.579	186.904	26.027	0.053	0.9	30000.0
277	1185.07	24.27	188.542	26.649	0.056	0.897	20000.0
278	1165.371	23.813	186.283	26.007	0.055	0.9	40000.0
279	1157.84	23.34	186.752	25.993	0.052	0.901	30000.0
280	1179.207	23.826	187.597	26.07	0.055	0.9	20000.0
281	1191.293	24.343	190.773	26.755	0.055	0.897	30000.0
282	1183.596	24.187	184.499	26.273	0.056	0.899	20000.0
283	1168.205	23.615	183.389	26.085	0.054	0.897	30000.0
284	1174.604	24.025	191.604	26.598	0.056	0.897	40000.0
285	1171.828	23.854	186.946	26.225	0.054	0.897	40000.0
286	1139.032	23.249	181.647	25.452	0.051	0.903	30000.0
287	1153.531	23.627	183.762	26.207	0.054	0.898	20000.0
288	1184.044	24.39	191.419	26.992	0.058	0.893	30000.0
289	1159.069	23.365	185.708	25.972	0.053	0.901	20000.0
290	1176.822	23.943	188.647	26.399	0.054	0.898	20000.0
291	1169.786	23.629	186.365	25.881	0.053	0.901	50000.0
292	1164.719	23.882	183.973	26.075	0.054	0.9	20000.0
293	1187.087	23.988	189.409	26.332	0.055	0.9	30000.0
294	1167.989	23.825	184.047	25.985	0.054	0.9	40000.0
295	1172.168	23.84	191.017	26.36	0.054	0.898	40000.0
296	1160.153	23.582	184.935	25.959	0.054	0.901	30000.0
297	1163.075	23.703	184.103	25.961	0.055	0.9	20000.0
298	1170.746	23.921	187.706	26.198	0.055	0.901	30000.0
299	1161.278	23.632	188.125	26.339	0.053	0.899	30000.0
300	1136.88	23.261	183.98	25.804	0.053	0.9	30000.0
301	1187.143	24.154	190.243	26.526	0.055	0.897	20000.0
302	1164.237	23.566	189.849	26.181	0.053	0.899	20000.0
303	1179.437	24.069	186.444	26.074	0.055	0.9	20000.0
304	1191.742	24.28	194.199	27.074	0.057	0.893	20000.0
